Sr #,Registration #,Unit Name,Date of Registration,Address of Establishment,Tehsil,District,Directorate,Contact #,Date of Start of Business,Name of Employer,Nature of Business,No. of Permanent Employees,No. of Temporary Employees,No. of Contractual Employees ,Total No. of Employees,Amount of wages paid to employees (Dec 2017),Amount of contribution paid (Dec 2017),F4 No. ,Amount of C4,F5 No.,F5 Amount,Where C4 Amount is Excess,Where C4 Amount is Less,Amount Increase Receivable ,Increase Amount Received,Accum. Balance of arrears,Functional/ Non- Functional ,Cases u/s 57,Cases u/s 59,Cases U/S 66,Cases U/S 81,Civil / High Court
41923,20-1765,M/s. National/Al-Fazal Oil Mills ,19.08.89,Vahari road Burewala,Burewala,Vehari,Multan,,19.08.89,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,18970,Functional ,,,,,
41924,23-1847,M/s. Madina Cotton,1.11.1996,Ch.No 451 Multan road Burewala,Burewala,Vehari,Multan,,1.11.1996,,Manufacture of Textile ,3,0,0,3,,,,2580,,,,,,,3292,Functional ,,,,,
41925,36-1848,M/s. Steel Force ,1.11.1990,Multan road Burewala,Burewala,Vehari,Multan,,1.11.1990,,"Manufacture of Machinery, except electrical machinery ",5,0,0,5,75000,4500,17819,,,,,,,,146147,Functional ,,,,,
41926,23-1849,Super Cotton Industries,1.11.1990,Arif wala Road Burewala,Burewala,Vehari,Multan,,1.11.1990,,Manufacture of Textile ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41927,20-1850,Bhatti Oil Mills,1.11.1990,Multan road Burewala,Burewala,Vehari,Multan,,1.11.1990,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41928,23-1851,M/s. S.J oil Industries ,1.11.1990,Lahore Road Burewala,Burewala,Vehari,Multan,,1.11.1990,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,60348,Non-Functional,,,,,
41929,36-1868,M/s. The Muslim Engineering Works,1.11.1990,Multan road Burewala,Burewala,Vehari,Multan,,1.11.1990,,"Manufacture of Machinery, except electrical machinery ",,,,,,,,,,,,,,,196678,Non-Functional,,,,,
41930,36-1869,M/s. Madina Engineering Works ,1.11.1990,Multan road Burewala,Burewala,Vehari,Multan,,1.11.1990,,"Manufacture of Machinery, except electrical machinery ",2,0,0,2,,,,1800,,,,,,,262720,Functional ,,,,,
41931,36-1870,M/s. New National Industries ,1.11.1990,Multan road Burewala,Burewala,Vehari,Multan,,1.11.1990,,"Manufacture of Machinery, except electrical machinery ",,,,,,,,,,,,,,,22890,Non-Functional,,,,,
41932,14023,Ahmed brothers Cotton Ginning,07.08.1991,new lakar mandi Burewala,Burewala,Vehari,Multan,,07.08.1991,,Manufacture of Textile ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41933,20-1939,M/s. Abdul Shakoor Tinda Oil Mills ,07.08.1991,Ch.No EB 517 Burewala,Burewala,Vehari,Multan,,07.08.1991,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,16710,Non-Functional,,,,,
41934,20-1940,Burewala Oil Mills,07.08.1991,Multan road Burewala,Burewala,Vehari,Multan,,07.08.1991,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41935,20-1941,M/s. Zikriya Flour Mills ,07.08.1991,vehari Bazar Burewala,Burewala,Vehari,Multan,,07.08.1991,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,1440,Non-Functional,,,,,
41936,20-1942,M/s. New Nelibar Industries ,07.08.1991,vehari road Burewala,Burewala,Vehari,Multan,,07.08.1991,,Food Mfg. Industries Except Beverage Industries ,5,0,0,5,75000,4500,18145,,,,,,,,11473,Functional ,,,,,
41937,23-2023,M/s. Ittefaq Cotton Ginners ,15.10.1991,vehari road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,203693,Non-Functional,,,,,
41938,23-2024,M/s. Sheikh Cotton Factory ,15.10.1991,vehari road Burewala,Burewala,Vehari,Multan,673351773,15.10.1991,Sh.Ashfaq,Manufacture of Textile ,5,7,0,12,180000,10800,18125,,,,,,,,142525,Functional ,,,,,
41939,23-2025,M/s. Al- Fazal Cotton Factory ,15.10.1991,Ludan Road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,290891,Non-Functional,,,,,
41940,23-2026,M/s. Nazir Industries ,15.10.1991,Chichawatni road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Manufacture of Textile ,,,,,,,,,,,,,,,2800,Non-Functional,,,,,
41941,23-2027,M/s. Laypur Cotton Factory ,15.10.1991,461/EB road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Manufacture of Textile ,,,,,,,,,,,,,,,45497,Non-Functional,,,,,
41942,23-2028,M/s. Haji Abdul Ghafoor Cotton ,15.10.1991,531/EB Burewala,Burewala,Vehari,Multan,,15.10.1991,Haji Ghafoor,Manufacture of Textile ,3,2,0,5,75000,4500,17235,,,,,,,,78776,Functional ,,,,,
41943,20-2029,M/s. Chaudhary Oil Mills ,15.10.1991,kamand road Burewala,Burewala,Vehari,Multan,,15.10.1991,Ch.Asghar,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,2950,Non-Functional,,,,,
41944,23-2030,M/s. Sultani Corporation Ginning Factory ,15.10.1991,vehari road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Manufacture of Textile ,,,,,,,,,,,,,,,9420,Non-Functional,,,,,
41945,20-2031,M/s. Ahmed Oil Mills ,15.10.1991,Arif wala Road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,500,Non-Functional,,,,,
41946,20-2032,M/s. Tariq Mehmood & Company ,15.10.1991,Chichawatni road Burewala,Burewala,Vehari,Multan,3347202303,15.10.1991,Tariq,Food Mfg. Industries Except Beverage Industries ,2,0,0,2,36666,2200,18419,,,,,,,,79430,Functional ,,,,,
41947,20-2033,Saeed Iqbal oil Mills,15.10.1991,Ludan Road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41948,20-2034,M/s. Ali Muhammad Oil Mills ,15.10.1991,machi wal Burewala,Burewala,Vehari,Multan,,15.10.1991,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,420,Non-Functional,,,,,
41949,23-2035,M/s. Malik Cotton Factory ,15.10.1991,sahooka road Burewala,Burewala,Vehari,Multan,,15.10.1991,,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,132560,Non-Functional,,,,,
41950,23-2036,M/s. Sufi Cotton Factory ,15.10.1991,kachi pakki road luden burewala,Burewala,Vehari,Multan,,15.10.1991,,Manufacture of Textile ,,,,,,,,,,,,,,,4443,Non-Functional,,,,,
41951,20-2096,M/s. Taj Oil Mills ,24.12.1992,Ludan Road Burewala,Burewala,Vehari,Multan,,24.12.1992,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,107163,Non-Functional,,,,,
41952,20-2097,M/s. Insaf Oil Mills ,24.12.1992,near PI link Burewala,Burewala,Vehari,Multan,3213355500,24.12.1992,Shabir Hussain,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,95121,Non-Functional,,,,,
41953,23-2098,M/s. Diwan Cotton Factory ,20.12.1992,near PI link Burewala,Burewala,Vehari,Multan,,20.12.1992,,Manufacture of Textile ,,,,,,,,,,,,,,,9672,Non-Functional,,,,,
41954,20-2099,M/s. Sabiria Oil Mills ,20.12.1992,vehari road Burewala,Burewala,Vehari,Multan,,20.12.1992,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,72893,Non-Functional,,,,,
41955,23-2100,M/s. Ittehad Cotton Industries ,20.12.1992,kamand road Burewala,Burewala,Vehari,Multan,,20.12.1992,,Manufacture of Textile ,,,,,,,,,,,,,,,31177,Non-Functional,,,,,
41956,23-2101,M/s. Neli Cotton Factory ,20.12.1992,liaqat Bazar Burewala,Burewala,Vehari,Multan,,20.12.1992,,Manufacture of Textile ,,,,,,,,,,,,,,,2250,Non-Functional,,,,,
41957,23-2102,M/s. Cheema Cotton Factory ,20.12.1992,329/EB Luden road Burewala,Burewala,Vehari,Multan,,20.12.1992,,Manufacture of Textile ,3,12,0,15,191683,11501,17144,,37389,15990,,,,390,82665,Functional ,,,,,
41958,20-2103,M/s. Khurshid Oil Mills ,20.12.1992,Gaggo Burewala,Burewala,Vehari,Multan,,20.12.1992,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,910,Non-Functional,,,,,
41959,20-2104,M/s. Naseem Oil Mills ,20.12.1992,Lahore Road Burewala,Burewala,Vehari,Multan,,20.12.1992,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,2940,Non-Functional,,,,,
41960,20-2105,M/s. Faqeer Muhammad Oil / Flour Mills,20.12.1992,Lahore Road Burewala,Burewala,Vehari,Multan,,20.12.1992,Haji Faqeer,Food Mfg. Industries Except Beverage Industries ,20,0,0,20,300000,18000,17843,,,,,,,,2562,Functional ,,,,,
41961,23-2106,M/s. Al- Rehman Cotton Factory ,20.12.1992,Ludan Road Burewala,Burewala,Vehari,Multan,,20.12.1992,,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,150240,Non-Functional,,,,,
41962,23-2201,M/s. Nazir Trading Company ,20.12.1992,44/WB Luden road Burewala,Burewala,Vehari,Multan,,20.12.1992,Haji Yaqoob,Manufacture of Textile ,2,0,0,2,,,,1800,,,,,,,123837,Functional ,,,,,
41963,23-2202,M/s. Mian Industries ,14.02.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,14.02.1993,,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,209810,Non-Functional,,,,,
41964,23-2203,M/s. Zaheer Abad Cotton/Noor Cold Storage,14.02.1993,Zaheer Nagar Burewala,Burewala,Vehari,Multan,,14.02.1993,Irshad ,Manufacture of Textile ,1,0,0,1,15000,900,17197,,,,,,,,7039,Functional ,,,,,
41965,23-2204,M/s. Tahir Cotton Factory ,14.02.1993,Main Channu road Burewala,Burewala,Vehari,Multan,,14.02.1993,,Manufacture of Textile ,3,0,0,3,47000,2820,18407,,,,,,,,23327,Functional ,,,,,
41966,20-2205,M/s. Muzzamil Oil Mills ,14.02.1993,Masoom Shah Road Burewala,Burewala,Vehari,Multan,,14.02.1993,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,38074,Functional ,,,,,
41967,20-2206,M/s. Bahoo Oil Mills,14.02.1993,505/EB road Burewala,Burewala,Vehari,Multan,,14.02.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,44758,Non-Functional,,,,,
41968,20-2236,M/s. Ittefaq Oil Mills ,30.03.1993,481 luden road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,75432,Non-Functional,,,,,
41969,23-2237,M/s. Gold Flower Cotton Factory ,30.03.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Manufacture of Textile ,,,,,,,,,,,,,,,7155,Non-Functional,,,,,
41970,23-2238,Al-Sadique Cotton Factory,30.03.1993,kamand road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Manufacture of Textile ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41971,23-2239,M/s. Jabbar Cotton Factory ,30.03.1993,505/EB road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,154075,Non-Functional,,,,,
41972,23-2240,M/s. Sultan Cotton Factory ,30.03.1993,505/EB road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Manufacture of Textile ,,,,,,,,,,,,,,,2270,Non-Functional,,,,,
41973,23-2241,M/s. Baseera Cotton,30.03.1993,Dewan Sahib road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Manufacture of Textile ,3,0,0,3,42250,2715,17143,,37388,2685,,,,885,105594,Functional ,,,,,
41974,23-2242,M/s. White Rose Cotton ,30.03.1993,473/EB Masoom shah road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Manufacture of Textile ,,,,,,,,,,,,,,,127631,Non-Functional,,,,,
41975,23-2243,M/s. Awan Cotton Factory ,30.03.1993,455/EB Masoom shah road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Manufacture of Textile ,1,0,0,1,,,,,,,,,,,93379,Non-Functional,,,,,
41976,20-2244,M/s. Malik Oil Mills ,30.03.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,,,,,,,,70492,Non-Functional,,,,,
41977,20-2245,M/s. Baba Fateh Shah Oil ,30.03.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,2340,Non-Functional,,,,,
41978,20-2246,M/s. Al-Mezan Oil Mills ,30.03.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Food Mfg. Industries Except Beverage Industries ,5,0,0,5,77000,4620,17129,,37360,5898,,,2222,2818,61912,Functional ,,,,,
41979,20-2247,M/s. Mana Mor Oil Mills ,30.03.1993,Mana More Gaggo  Burewala,Burewala,Vehari,Multan,,30.03.1993,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,42999,Functional ,,,,,
41980,20-2248,M/s. Haji Brothers Oil Mills ,30.03.1993,505/EB road Burewala,Burewala,Vehari,Multan,,30.03.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,37876,Non-Functional,,,,,
41981,23-2249,M/s. Awais Cotton Factory ,30.03.1993,461/EB road Burewala,Burewala,Vehari,Multan,3336284792,30.03.1993,,Manufacture of Textile ,3,0,0,3,48000,2880,18688,,,,,,,,56144,Functional ,,,,,
41982,20-2255,Youqoob Oil Mills,12.01.1993,Chichawatni road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41983,20-2256,M/s. Shafi Oil Mills,12.01.1993,Chichawatni road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,42195,Non-Functional,,,,,
41984,23-2257,M/s. Waraich Oil Mills ,12.01.1993,Chichawatni road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,28088,Non-Functional,,,,,
41985,20-2258,Sardar oil mills,12.01.1993,Chichawatni road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41986,20-2259,Malik Muneer oil mills,12.01.1993,kamand road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41987,20-2260,Danewal oil mills,12.01.1993,Multan road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41988,20-2261,M/s. Fayyaz Oil Mills ,12.01.1993,Multan road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,45340,Non-Functional,,,,,
41989,20-2262,M/s. Ijaz Oil Mills ,12.01.1993,vehari road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,60864,Functional ,,,,,
41990,20-2263,M/s. Madina Oil Mills No. II,12.01.1993,vehari road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,41515,Non-Functional,,,,,
41991,20-2264,M/s. Hafiz Atta Ullah Oil Mills ,12.01.1993,kamand road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,350,Non-Functional,,,,,
41992,20-2265,M/s. Awan Oil Mills ,12.01.1993,ahmed Brothers Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,35534,Non-Functional,,,,,
41993,20-2266,Itefaq Oil Mills,12.01.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41994,20-2267,Waseem Iqbal oil mills,12.01.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41995,20-2268,M/s. Al-Fathe Industries ,12.01.1993,Ludan Road Burewala,Burewala,Vehari,Multan,,12.01.1993,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,44680,Non-Functional,,,,,
41996,20-2286,Al-Karam oil mills,11.08.1993,329/EB Luden road Burewala,Burewala,Vehari,Multan,,11.08.1993,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41997,20-2287,M/s. Farhan Oil Mills ,11.08.1993,Multan road Burewala,Burewala,Vehari,Multan,,11.08.1993,,Food Mfg. Industries Except Beverage Industries ,2,0,0,2,,,,1800,,,,,,,4346,Functional ,,,,,
